__label__5(3a),"Everything was a delicious blend of tart and sweet : baby carrots with apricots , snow peas with prunes , roast potatoes sprinkled <head>with</head> basil ."
__label__1(1),"Cleo lay down <head>beside</head> the dog , resting her cheek on one hand ."
__label__1(1),"The matter was reported to the police , but the proceedings against the man were discontinued <head>after</head> he had been charged with kidnapping ."
__label__5(4),"When the spinning finally settled , he searched <head>for</head> her running figure ."
__label__1(1),"In a timed swim <head>across</head> Honolulu Harbour in 1911 he covered 100 yards in 55.4 seconds , shattering the existing record by 4.6 seconds ."
__label__8(3),"Rain conceded : ` He insisted <head>to</head> me that she was too loyal to give anything away . """
__label__6(5),"He tagged the Tories with a grouse moor image and mocked Home <head>for</head> his ` matchbox economics "" ."
__label__2(1a),"Common sense told her that by immersing herself <head>in</head> work the memory of the last months would recede , and with it would go her bitterness and sense of loss ."
__label__1(1),"Clearing his throat noisily , Price perched a pair of gold-rimmed spectacles <head>on</head> his nose and announced he had received a letter from India ."
__label__9(7),He felt strange being with someone like me who was open <head>with</head> him yet did n't want to be involved .
__label__7(5),Bromhead was shrewd <head>in</head> his advice and generous in his support .
__label__3(3),"He laughed softly as he moved away again , and Fran stormed <head>into</head> the room and slammed the door , but it was n't that easy to close the door on what he 'd said ."
__label__3(3),"The President turned pale , vomited <head>into</head> the lap of Miyazawa and then collapsed to the floor ."
__label__2(2)-1,"Recovering from her immediate mini-breakdown , Dawn decided that what she had regarded as comfortably dull marriage had become comfortably boring <head>for</head> Tim ."
__label__10(4),"Rifle in one hand , Tom flattened the crumpled paper <head>against</head> his knee and frowned ."
__label__3(1b),It is quite common to see an important Orc Boss strutting <head>through</head> the Orc camp followed closely by a tiny Snotling impersonating his walk and copying the Boss ' every movement in an exaggerated comic fashion .
__label__1(1),We drive along a train track <head>in</head> the middle of maize fields in clear luminous darkness .
__label__1(1),A look of watchfulness stole <head>across</head> Jane Pargeter 's eyes .
__label__about_topic,"In order to draw causal inferences <head>about</head> the educational consequences of being in care , a longitudinal study has been designed ."
__label__3(3),She and her friends scampered <head>into</head> the undergrowth where there were plenty of grubs for all .
__label__3(1b),"Central to this is , of course , the realisation that most cases of food poisoning result from carelessness <head>by</head> food handlers -- hence the emphasis now on training ."
__label__1(1),"Already , seventy men had emigrated <head>from</head> the glen to America , and McQueen intended to follow them within the year ."
__label__13(6b),"Poland was surrounded by neighbours who were contemptuous <head>of</head> its existence and anything but trustworthy , and Poland treated them as such ."
__label__2(2),"She wore a smart blue skirt , and her new navy three-quarter-length coat over her shoulders ; a white lacy blouse <head>with</head> a navy-blue trimming ."
__label__1(1),The path is 600 yards long and connects to a tar-surfaced lane <head>at</head> the north end .
__label__13(10),We draw what seem to be two important conclusions <head>from</head> this hypothesis .
__label__3(1b),Lord Taylor said that the whole of the evidence merited consideration <head>by</head> a fresh jury .
__label__4(3),"Things have changed now of course , but acts tend to tour just the Eastern side , so Western Australia still misses out because it 's such a bloody hike <head>from</head> Adelaide to Perth . """
__label__13(8),Helen was formerly support services consultant <head>with</head> the International Hospital Group and has also had 23 years service with the National Health service in domestic services management .
__label__1(1),"We would n't have been able to skate <head>in</head> Britain , so it 's great to be in Milton Keynes ."
__label__6(3),"I was appointed as an Assistant Clerk <head>of</head> Nottinghamshire County Council in 1974 with about 15 staff , covering the work of the Planning , Highway , Police and Public Protection Committees ."
__label__1(1),This year 's $1.3 million advertising campaign features a young girl being resuscitated <head>after</head> a car accident involving a drink driver .
__label__2(2)-1,This is likely to prove expensive <head>for</head> schools with more experienced teachers .
__label__9(5),"When the German officer began to shout abuse <head>at</head> the Poles , this goat leant out of his window and shouted abuse at the German officer ."
__label__8(3),Most studies <head>on</head> the management control process have been carried out in the private sector with profit-orientated organizations .
__label__12(6a),His appointment comes with next month 's retirement <head>of</head> assistant chief constable Fred Smith .
__label__6(4),On 27 March he was involved in a scuffle <head>with</head> his prisoners at Tyburn .
__label__1(1),I usually cooked Sunday lunch <head>after</head> we got back from church .
__label__3(1b),"And I , maybe I 'm , I may be wrong on this , but it does seem to me that it is potentially a step <head>down</head> the road , in the longer term to the development of regional members ."
__label__6(2a),His three thousand men and army car with driver had dwindled <head>to</head> my poor mother and a bicycle .
__label__3(1b),"Moreover , on Feb. 17 the Moscow media reports were retracted on the basis of a denial <head>by</head> officials in Samarkand that any unrest had taken place ."
