__label__3(1b),"After thirty years as an administrator in the National Health Service and an adviser on policing , Miss James was enlisted for service in the corps <head>of</head> commissionaires of British public life ."
__label__12(6a),"There are other exceptions besides consent : lawful chastisement <head>of</head> a child , force used to effect an arrest , reasonable force in self-defence or to prevent crime ."
__label__1(1),Scotland has already phased out its only Magnox plant which occupied part of the Hunterston site and won acclaim <head>as</head> the world 's most efficient nuclear reactor when it was operating .
__label__3(3),"` Bring them <head>into</head> the kitchen , please , "" she said , her hands clasped tightly together , ` I must tell them all the bad news personally . """
__label__5(3a),"Quarter figs , top them with some cinnamon-spiced ricotta and drizzle <head>with</head> clear honey ."
__label__1(1) __label__4(2b),"Every Wednesday afternoon for the past 15 weeks Tony has ` tutored "" 1st year pupils <head>at</head> nearby ( and almost equally fashionable ) Holland Park Comprehensive ."
__label__8(3),"He brought the proceedings to a standstill with a stinging rebuke <head>to</head> the nations of the world and an emotional appeal for help to stop ` genocide "" in the besieged town ."
__label__6(3),Places to avoid : We would n't recommend the glass-bottom boat tour around the reefs <head>of</head> Nassau .
__label__13(5),"The wire is generally fastened <head>to</head> the bracelet with a popper so even if she forgets about it and walks away from her machine with it still attached , it will just pop apart ."
__label__3(1b),"Fitst , a quartet <head>of</head> AWACS aerial surveillance crafts was dispatched to Riyadh ."
__label__1(1),Mr Evans stood <head>behind</head> the counter and read the letter and Albert and Carrie watched him .
__label__1(1),"She curled her fingers around the shard in her palm , slipped it back into the thin pouch of cotton hidden <head>inside</head> the skirts of her dress ."
__label__3(1b),While experience may show that certain tasks were not as good discriminators as others there is likely to be an abundance <head>of</head> evidence over the three-year period for teachers to use .
__label__1(1),Anthea Darnell strode <head>to</head> the main door of the Lodge without a backward glance .
__label__1(1),"A strong coalition developed <head>against</head> Henry , including Rainald , Albrecht the Bear , the Landgraf Ludwig of Thuringia , and many lesser vassals from Saxony , Thuringia and Hessen ."
__label__1(1),"Seeing Felix resignedly pick up his towel and bathing suit , Mabs and Tashie rushed <head>behind</head> a rock to change ; Joyce was already in her swimsuit , prancing on long legs , showing her teeth ."
__label__1(1),"Before I could do anything , two medics came sprinting <head>along</head> the path from the direction of the big house ."
__label__11(6),"Yet despite the amount of money generated in the region , it has remained largely impervious to the attempts <head>of</head> local companies to establish computer retail operations ."
__label__9(7),"We have been always frank <head>with</head> each other , and I know that you will find my criticism exhilarating ."
__label__1(1),"They could hear her mare thudding <head>through</head> the thick forest ahead of them , and the swish and crackling of the bushes and dead stuff underfoot ."
__label__6(5),"On Dec. 19 the UN General Assembly passed by 144 votes to one ( Iraq ) a resolution condemning Iraq <head>for</head> serious violations of human rights in Kuwait including torture , detention , summary execution and disappearances ."
__label__8(3),"A rough-looking man with dark slicked-back hair and heavy eyebrows popped his head into the bus and shouted jubilantly <head>to</head> a friend , ` Come in , there 's a funeral wi' free whiskey ! """
__label__about_topic,None of them really grilled Mr Major <head>about</head> Maastricht .
__label__7(5),"It is also seen as significant in the Davies camp that Neil Kinnock , the party leader , is remaining neutral <head>in</head> the contest ."
__label__12(6a),"This is correct as a statement <head>of</head> fact , but not as an analysis of the logic behind their success."
__label__13(6b),It enabled him to ask the bluntest of questions in the politest <head>of</head> tones and to disguise his opinion behind the blandest of smiles .
__label__1(1),"Before he completed the sentence Carrie had tumbled from the bed and was limping rapidly <head>from</head> the room , in a state of total nakedness ."
__label__about_topic,"It is certainly good for me physically , though I am a little dubious <head>about</head> its ultimate good ."
__label__6(3a),"She thrust back the chair and strode <head>round</head> the desk , her two hands locked together and her whole figure trembling with rage ."
__label__4(3),"Two children ( the combatants ) each chose a ` soldier "" and held battle until one managed to chop <head>off</head> the head of his opponent ."
__label__9(5),"She lounges through the party rooms , a scent <head>of</head> snow as she passes ."
__label__12(6a),"But while this was happening another student , who was a friend of both the dying man and myself , became convinced that God was going to heal the clergyman <head>of</head> his cancer ."
__label__5(4),"He was then still slightly shy <head>in</head> company , though sharp and confident in other areas and among his equals , like the pool halls where he would hustle for a few dollars ."
__label__3(1b),He sank into a fireside chair and I poured him a small medicinal quart <head>of</head> Absinthe to steady his nerves .
__label__3(1b),"Once rural bus services are subsidized they become vulnerable to withdrawal <head>by</head> councils dominated by car-owners wishing to limit increases in the rates , while those who need the service are often without a voice at County Hall ."
__label__1(1),"U'S BOSS Roy McDonough has quit <head>as</head> a player , kissing goodbye to his dream of making 500 League appearances and scoring 100 goals ."
__label__14(7),His deeds will be recounted in the warrior societies and the squaws will sing <head>of</head> his exploits .
__label__3(1b),"David , 38 , with his brother Andy and fishing partners Kev Berry and Robin Clark have spent dozens <head>of</head> hours trying to take a big predator from the water ."
__label__3(2),"Great rivalry between the boats sometimes led to angry words , or even sea battles , and when smoke over Downderry signalled a shoal <head>along</head> the coast , an exciting race would ensue ."
__label__1(1),"He repaired <head>to</head> his kitchen area , flagrantly disregarding the woman who was being sick three rows behind the two men ."
__label__1(1),Rachaela put down the can opener and emptied the spaghetti <head>into</head> the saucepan .
__label__2(2),"Lemon silk poult dress <head>with</head> pearl beaded detail on bodice by Margaret Curran ( Lemon , 00 ) , earrings Butler and Wilson ( 2 )"
__label__5(2),"Courtesy of Dr. Janet Browne and reproduced <head>by</head> courtesy of the Wellcome Institute Library , London ."
__label__5(4),She nodded <head>in</head> concern .
__label__2(1a),"Think again , Ashley told herself as , having checked that the purchases stashed <head>in</head> the buggy 's basket were secure , she started the return climb up the lane ."
__label__4(3),"Why , King Henry the Eighth might have cut <head>off</head> your head had you not burped your appreciation . """
__label__3(3),The report claimed that almost 400 Lao civilians had crossed <head>into</head> the Thai province of Loei to escape the fighting .
__label__12(6a),"The right to intervene does not , in other words , depend on any particular characterisation <head>of</head> the state 's role in corporate creation ."
__label__7(5),Do you have a delight <head>in</head> animals and skill in their management ?
__label__5(3a),I took the top off a ginger ale and filled a small jug <head>with</head> water .
__label__about_topic,Mr. S. contacted the warehouseman <head>about</head> what had happened .
__label__1(1),"And yet , if Mr Brown does pitch his hat <head>into</head> the gubernatorial contest , he will start with a handicap ."
__label__2(1a),"At Folkstumyren I came across a pair of bluethroats which were busy catching insects , sometimes flitting up into the air <head>like</head> a flycatcher to intercept craneflies ."
__label__1(1),"And Marigot Bay undoubtedly fell into the former category , she reflected , sipping more orange juice and letting the zingy citrus sweetness slither cold and reviving <head>down</head> her throat ."
__label__8(3),"But Charlotte would have needed to be alone with him , decks cleared of their differences , for certainty <head>on</head> the point ."
__label__2(2)-1,Staff here say that would spell disaster <head>for</head> hundreds of alcoholics .
__label__2(2)-1,"There was disappointment <head>for</head> Banbury 's Claire Taylor , who went out of tournament in the quarter final stage ."
__label__6(2a),"If all industrialized countries were to increase their overseas aid <head>to</head> the 0.7 per cent of GNP recommended by the United Nations , it would cost an extra $50 billion a year ."
__label__1(1),"Above us the fronds of the palm trees clattered in the warm wind , while out to sea Bonefish 's ragged and patched sail dipped <head>in</head> the steep waves beyond the reef ."
__label__5(4),She only realised that the meal had ended when Piers summoned across <head>for</head> the bill .
