There is , in most assessment activities , an assumption that once a question has been stated , then the problem perceived <head>by</head> the teacher becomes the pupil 's problem .	2(1a)
I seethed <head>with</head> a totally irrational rage .	11(7b)
Thus , therapy <head>for</head> a particular ailment may specifically be excluded from a policy , whilst surgery would be covered .	5(4)
Pinza strides home <head>from</head> Aureole .	1(1)
Across the floor a group of nomes swarmed past <head>around</head> the slowly moving bulk of the battery .	4(3)-1
There were frequent clashes <head>over</head> the reporting of Northern Ireland , ending with a ban on interviews with members of Sinn Fein .	16(7)
They probably figure the public would n't like them very much if they dragged a sick girl <head>from</head> her bed .	10(7)
"` This time ? "" she exclaimed with a telling note of derision <head>in</head> her voice ."	1(1)
Contact your locksmith <head>for</head> advice on the best type of window locks to fit , and ask about specialist locks for your patio doors .	6(5)
Maggie kept catching her eye with an expression of knowing amusement , but at the same time she obviously hated having these men stomping <head>through</head> her every possession and destroying any remaining magic in her secret chamber .	1(1) 3(1b)
Corbett dug out his long Welsh dagger , knelt down <head>beside</head> the grave and prised open the lid .	1(1)
Davis checked that each man had a rucksack <head>of</head> bombs , a pocketful of fuses , benzedrine tablets , a full water-bottle and a loaded weapon .	3(1b)-1
An exact match will be sufficient to convict the farmer <head>of</head> a pollution infringement .	16(7b)
This may in turn have caused the forelegs <head>of</head> prosauropods ( the Triassic forerunners of sauropods ) to become more massive , stimulated as they were by the repeated dropping onto all fours when moving slowly .	6(3)
Mould the hollow rocket boosters by pushing pieces of fondant into egg boxes dusted <head>with</head> cornflour .	5(3a)
The Company made a 60-mile withdrawal <head>to</head> the beach at Betano and were picked up with Portuguese and Dutch civilians evacuated at the same time , the relief ships being bombed during their approach for this night landing .	1(1)
Warning that there was no single mechanism which would catapult Britain <head>to</head> economic strength , Mr Kinnock said : ` Research and development , transport and communications , science , education and training ; they are the priorities .	1(1)
"` The Blood of Christ , "" Peter said softly , stooping <head>to</head> her with the chalice ."	1(1)
Before his mother could stop him he clambered <head>onto</head> the bench .	1(1)
The yellow-jacketed policeman shuffled uneasily <head>from</head> foot to foot , uncertain of what they should be doing now .	2(1a)
The use of sanctions must accord <head>with</head> the Department 's policy covering these measures .	9(7)
Nana was small and scrawny , and the sinews in her neck stood out like guy-ropes above the demure white collar <head>of</head> her dark blue dress .	2(1a)
Take a stroll <head>around</head> the grounds and through the buildings and try to put yourself in their position .	3(2)
It is both a celebration of salvation and also a proclamation <head>of</head> God 's continuing gift of saving grace for his faithful people .	12(6a)
Alan Hirst , 39 , who has a rare allergy , injected himself <head>with</head> adrenalin after he was stung at Bawtry , Doncaster .	5(3a)
We invited hon. Members from all Opposition parties to consult and debate <head>with</head> us the best form of taxation to replace the community charge .	1(1)
But when the 28-year-old Luton osteopath becomes Britain 's only competitor <head>in</head> this month 's Pentjak Silat World Championships in Indonesia , harming an opponent will be the last thing on his mind .	7(5)
Inside the building Joshua stood in line with the multitude to endure the long wait and the thorough search , the emptying <head>of</head> pockets and the impudent fumblings of security .	12(6a)
We can see in this Nietzsche 's aspirations <head>towards</head> a total philosophy of life .	4(2)-1
As it does so , it swings its body slightly <head>from</head> side to side , like a machine-gunner raking the enemy ranks .	1(1)
She fed it tidbits , morsels of bread soaked <head>in</head> milk .	1(1)
The reasons for this are complex , but basically the more efficient one is as a reader , the less one reads individual words as separate bits , or pays attention <head>to</head> their structure .	8(3)
Jack was a common enough name , but the sound of it , and the touch of mystery associated with the call , made the image of a man swim <head>into</head> Doyle 's mind .	3(3)
He ate vast quantities <head>of</head> aeoli : his firm , plump chin gleamed with it , like a child 's , approached with a buttercup in search of an affinity for butter .	3(1b)
"` Do n't forget to be at the meeting tomorrow then , "" we prompted as we trod carefully <head>on</head> the clumps of dry grass as if they were stepping-stones ."	5(1d)
His tawny skin was stretched tight over the bone , his winged black eyebrows rose <head>above</head> a nose that curved like a falcon 's over his wide mouth .	above_spatial
Professor Graham Clark has suggested , for example , that the dwellers <head>on</head> the Mesolithic site at Star Carr in Yorkshire were exploiting not only the lake on which it was situated , but also the lowland of the Vale of Pickering to the west , the Yorkshire wolds to the south , and the North Yorkshire Moors to the north .	2(1a)
Armed with the yellow pages and a mug <head>of</head> coffee , I settled down by the telephone .	3(1b)-1
He has acquired the Cork Street premises vacated three years ago <head>by</head> Bernard Jacobson .	3(1b)
Their fur became soaked <head>with</head> the dew .	11(7b)
"Alicia Williams , an assistant professor <head>at</head> Memphis State University , Tennessee , said many of the mothers and their children found the experience of being separated ` negative and traumatic "" ."	1(1)
Now its stuck <head>on</head> a bank in Monmouth .	1(1)
The gaunt woman hurled his plastic pistol <head>after</head> him .	7(3)
After an even opening session and a terrific toe to toe burst at the start of the second it was Oakes who took a grip with McGrath soaking up a steady stream <head>of</head> hard right-hand shots .	3(1b)
At the close of Mass on feast days , Rosalba usually liked the lingering and the chat , the exclamations <head>over</head> new babies , new ribbons , new illnesses , old illnesses , the mutterings about swindles and scandals , policemen and bosses , the rumours of change , the curses and complaints .	16(7)
He told them he wanted to paddle <head>to</head> Norway .	1(1)
Participants said the city 's main square was filled <head>to</head> capacity .	6(2a)
At a quarter to one on 9 September the Commandant <head>of</head> the camp , Colonello Vicedomini , ordered the doors to be opened and the barbed wire cut .	6(3)
Opposite my house on Bronnaya Street there used to live the remarkable actress Alice Koonen , the wife <head>of</head> Taev , and she and I were very fond of each other and got on very well together .	6(3)
Viewed from an overhead perspective , Rufus can stomp <head>from</head> block to block with impunity but falls to his death if he makes a wrong move .	1(1)
` Do you think people with several tons <head>of</head> TNT know the difference ?	3(1b)
The herdsman beat a tactful retreat <head>to</head> the end of the cowshed and then I took the opportunity to say what I thought .	1(1)
""" She stopped , her inadequacy confused with her compassion <head>for</head> him ."	2(2)
As she was only about fourteen , we always bought a few dark-red carnations <head>from</head> her , but that was as far as we would go , to her surprise and indignation .	4(3)
Section 5 , enacted to deal with Fascist marches <head>in</head> the East End of London , had become unsatisfactory for several reasons .	1(1)
In a bowl-like depression <head>at</head> the Cramant end of this band , rich deposits of clay , sand , sandstone and lignites are to be found .	1(1)
Influenced by the lower pound , earnings jumped <head>by</head> 22 per cent during the period and over the nine months .	12(3)
But then she reminded herself that Miguel had entrusted her with his secret , and there was no way she could even explain her unhappiness <head>to</head> anyone .	8(3)
They marched back to the docks and resumed work after another address <head>by</head> Hume .	3(1b)
With so many confused emotions simmering away <head>inside</head> you , it 's difficult to know where to turn .	3(1b)
Lais ran through the villa peeking <head>into</head> rooms as she passed .	4(4)
It was almost as though some supernatural force possessed him , causing him to shed twenty years ; his face lost much of the sunken look of recent times , and he went about his work with such youthful vigour that a stranger might have believed there were not one but several such figures pushing trolleys <head>about</head> the corridors of Darlington Hall .	about_spatial
He had left Swansea without even sending a message and , as empty day ran into empty day , Emily 's anger and resentment <head>towards</head> her cousin continued to grow .	4(2)-1
When they 'd gone Maggie gathered up the rest of the dishes and piled them <head>in</head> the sink .	2(1a)
A special conference to be held in Tombouctu with the aim of ending the rebellion <head>of</head> Tuaregs in the north of the country [ see p. 38325 ] was postponed from Nov. 15 to Dec. 27 .	6(3)
Alongside the wall a narrow path wound <head>between</head> waist-high nettles to a small structure whose function one could guess at .	1(1)
They rode in single file , for the ground became broken as they climbed higher and the hoofs of their mounts dislodged loose stones that clattered <head>down</head> the hillside .	1(1)
They scuttled off <head>after</head> the other boys .	5(2)
He fought four times <head>for</head> his seat on Southampton council before winning it : a result that encouraged him to move into national politics .	5(4)
The Earls Court Boat Show last month saw the launching of a GPS set called the Pronav for $1,495 , including VAT , and other sets have begun to tumble <head>in</head> price .	6(4a)
He folded the paper and tossed it <head>across</head> the table to eagerly awaiting hands .	1(1)
Welcome back : Coming up soon , the man who designed the wedding dress <head>for</head> the Princess of Wales turns his attention to a new generation of the fashion-conscious .	3(3)
As he turned and handed the binoculars to his elder brother he frowned <head>in</head> what he hoped was a manly , intent manner and tried to make his voice sound casual .	6(4a)-1
"The interviewer only ` butted in "" when clarification was required on a specific topic or if the conversation wandered too far <head>off</head> the point ."	1(1)
"The alleged remarks <head>by</head> doctors to patients quoted above were taken from an Action Campaign survey highlighting ` bad "" treatment ."	3(1b)
"One of the best of these ` Collection Wines "" is a 1969 Negru de Purkar ( $8.95 from Butlers Wine Cellar ) that blends Cabernet Sauvignon <head>with</head> native Saperavi and Rara Niagre grapes ."	1(1)
On April 9 , relief agencies undertook the first stage of an operation to assist Kurdish refugees inside Turkey , amidst allegations <head>by</head> Turkish officials that the Turkish Red Crescent had borne the brunt of the relief effort .	3(1b)
The image appears <head>on</head> a fluorescent screen or a photographic plate .	2(1a)
Gingerly I squeezed a bit <head>on</head> my fingertip .	3(1b)
"` Can I help you ? "" she asked , trying not to let him see the amusement <head>in</head> her blue eyes ."	1(1)
The rain stung the pavement <head>with</head> all the fury of the arrows at Agincourt .	7(5)
