But I knew I had to look , so slowly I peeped <head>round</head> the door .	6(3a)
Never answer this question <head>with</head> a straight no , or you will lose the interviewer 's interest immediately .	4(3)
"Institutional shareholders complain that all too many bad news announcements <head>by</head> companies are preceded by `mysterious "" slides in their share prices."	3(1b)
Our house backed on to Cefn Leyshon , part of the ridge <head>of</head> Mynydd Eglwysilian that separated us from Senghenydd .	6(3)
She glimpsed the shell of one of the creatures scurrying <head>behind</head> a line of rocks .	1(1)
She seemed nervous at first , then almost resentful <head>of</head> the older woman 's presence .	16(7b)
You can , of course , define Pacifism <head>by</head> a reference to force , but you can not thereby save the world from the use of force .	5(2)
At the station I pick up my other parcel from Left Luggage , and toss it <head>in</head> a holdall .	2(1a)
It seems to be an admission <head>of</head> failure and weakness , especially when others are coping perfectly well with what appear to be even greater strains.	9(5)
We had a very happy collaboration <head>in</head> Berlin over Mozart 's Die Zauberflute , which he had been wanting to do for a number of years .	1(1)
Chomping a guarana chewing gum , he bashfully accepts the compliments <head>of</head> a rather old-looking female fan .	11(6)
Tzann thrust the sealed orders <head>to</head> one side , on top of a small pile of unopened mail .	1(1)
She wriggled <head>in</head> outrage , but when he caught her head between his hands , pulling back for a few moments to stare intently into her face , she stopped fighting .	5(4)
Gently melt the low-fat spread <head>in</head> a saucepan and add the flour .	1(1)
Asik reached to hide his face and fell <head>onto</head> the ground .	1(1)
The attempt at honesty <head>about</head> Chernobyl had strict limits , and was neither thorough nor consistent ; but it was a break , never mind an incomplete one , with the Soviet past .	1(1)
Every few weeks I would get one or two days off duty to catch the ferry to Nanaimo and motor <head>down</head> the scenic Malahat Drive to Victoria .	3(1b)
The Poyser monograph <head>on</head> The Barn Owl was published at the same time ; it has more words , contains many photo graphs and even has a colour plate , yet is $15 cheaper .	8(3)
However , electrons ejected <head>from</head> solids are likely to be captured by the surrounding matter , unless the distance to the surface is very small .	10(7)
Then fear overcame curiosity and he scrambled <head>down</head> from the tree with such haste that he skinned his knees and gouged a long deep gash along the inside of his forearm .	1(1)
A FULL inquiry has begun into remarks <head>by</head> a senior Strathclyde Region official that the high numbers of black and Asian children in special schools could be due to genetic or nutritional factors .	3(1b)
The trees are anchored by 20 metre polyurethane roots , formed by injecting liquid chemicals <head>down</head> a steel tube .	1(1)
"The toddler , aged about two , was found wandering <head>inside</head> the maternity unit of Arrowe Park Hospital , Wirral , with a heartbreaking note pleading for ` a new mummy "" to be found for her ."	1(1)
George Kennan returned <head>from</head> his visit to Japan in a critical spirit as regards significant aspects of the occupation .	1(1)
"The emphasis is on the word ` gentle "" , and that 's a good idea first thing in the morning , because the body does not like being rudely awakened from a deep sleep by 50 press-ups and a sprint <head>round</head> the block ."	5(3)
Stiffly , feeling like an old woman , she got to her feet and trudged between the hummocks till she reached the top of one of the new dunes <head>on</head> the shoreline .	2(1a)
They snarled <head>at</head> them as if they were criminals and took their papers as if they 'd like to tear them to shreds .	9(5)
As he journeyed home <head>in</head> the early-morning gloom , he tried to fix it in his mind with words .	1(1)
Robyn arranges her notes <head>on</head> the lectern , waiting for latecomers to settle in their seats .	1(1)
My Member of Parliament , Harold Lever , in response to an earlier letter of mine , wrote to the Algerian ambassador in London and got approval for me to cross the Algerian Sahara <head>on</head> foot .	4(1c)
Yes I I do I think the bank 's big mistake is their obsession with security cover erm and I think they ought to develop some expertise <head>in</head> judgement of people 's management and entrepreneurial abilities .	6(4a)
The coolness of the water roused me <head>from</head> my reverie , and I left the bath and decided to telephone Toby Greenslade .	10(7)-1
John took off one of his boots and emptied the contents <head>into</head> a nearby aspidistra pot .	1(1)
The non-aggression and nuclear accords , ratified shortly before the meeting by President Roh Tae Woo of the South and President Kim Il Sung of the North , raised hopes <head>for</head> a presidential summit in 1992 .	1(1)
They trotted <head>in</head> tandem around the floor , high-stepping to the whim of a muscular young man who held the reins behind them .	5(4)
Yet within two years the percentage of sub-$2 assessments jumped <head>from</head> a modest 39% to more than 56 .	6(4)
Noah stood six inches high , with a white beard to his knees and wading boots <head>of</head> real rubber .	17(8)
The ovaries are the female equivalent of the male testes but are rather more economical <head>in</head> their production of seed , each releasing one egg every other month .	6(4a)
She loves gossiping <head>with</head> friends over lunch , he would rather be alone with his thoughts .	1(1)
A new top rate income tax of 50 per cent will apply to individuals <head>with</head> an income of at least $40,000 this year .	2(2)
She dashed <head>across</head> the road to the Welcome Cafe , owned by her friends , the Taylors .	1(1)
Emily and her husband , and little Alexander were the first residents <head>at</head> No 28 .	1(1)
They grumbled <head>about</head> the hardships of the journey .	1(1)
It uses a vertical column of nine dots moving laterally <head>across</head> the page to produce printed characters , each of which is generated as a dot pattern within a matrix measuring six columns by nine rows .	1(1)
This pattern of irregular loading subjects the vessel to quite different stress from that exerted by an evenly distributed load <head>of</head> coal .	3(1b)
As the bombs in the hangars started to go off they beat a hasty retreat <head>across</head> the field .	1(1)
Spend five or ten minutes glancing <head>through</head> the book .	4(1c)
( Oh , excuse me a minute , my little chaplain is jumping up and down , splattering the parchment <head>with</head> ink .	5(3a)
She breakfasted <head>on</head> fried bread and bacon , and tea with four spoons of sugar , before a full turkey dinner with the other 33 residents at her nursing home in Redcar , Cleveland .	9(3a)
In less imaginative hands , Liz -- an unmarried and uncommunicative mum <head>of</head> a handicapped baby -- would surely come a cropper .	6(3)
Wendy managed to get a job as a receptionist <head>in</head> a dental surgery to begin with and will keep applying for one of the hygienist training courses .	7(5)
This involved a long hike <head>over</head> Esk Hause to Gable , and to avoid the intense mid-day heat we agreed to leave the valley at dawn .	13(4b)
"His landlady was nervous <head>of</head> strangers and called through the door , ` I 'm sorry , Mr Ramsey is out . """	16(7b)
They marched from Geneva , Charles leading one army <head>over</head> Mont Cenis , while his uncle Bernard led another through the Great St Bernard Pass .	13(4b)
And he can finish a golden year late next summer with the much-awaited showdown <head>against</head> Chris Eubank , who took Benn 's WBO middleweight title nearly two years ago before moving up himself to the 12 stone limit .	3(1b)
The breakthrough in the case came when Lashley confessed the murder <head>to</head> fellow inmates while still in prison .	8(3)
He thinks I 'm jealous when I get annoyed <head>at</head> his bad manners .	11(6)-1
There is a programme of special events which take place <head>during</head> the year .	1(1)
Only a quick dash <head>to</head> the shelter of a stack of tins saved them .	1(1)
