label	sentence
2	There were rows and rows of cheaply printed books of weird poetry <head>about</head> erotic fantasies all of which had close links with LSD
0	Hector , who had been gambolling <head>about</head> the porch , slunk in behind her , depressed by the angry voices .
2	Not all men are defensive or get upset if you raise this subject ; keeping silent <head>about</head> your concerns may put both your health and well-being at risk and wo n't help your relationship in the long term .
2	She said neither company had bothered to attend a public meeting <head>about</head> the proposed speed restrictions .
2	Nor could she have said what made her so positive <head>about</head> this assumption that had become a fixture in her head -- unless it was the fact of Silas 's previous near engagement to Doreen .
2	There are lots of shirty assertions <head>about</head> independence , few actively demonstrated .
2	Maybe the American government should note this before it complains <head>about</head> the success of Japanese business .
2	Now write as much as you can about Auntie the sort of person she was , what members of her family thought of her , what her niece realises <head>about</head> her at the end .
2	Lord Wakeham , who had come with the necessary cheque , had muttered something <head>about</head> boys being boys , and that Robertson would do well to go to his hotel and sleep it off .
0	She prowled nervously <head>about</head> the flat and poured another whisky .
2	Weeks of legal bickering by Pakistan lawyers have left the International Cricket Council fuming <head>about</head> their inability to take firm action over the damaging saga .
2	Mr. S. contacted the warehouseman <head>about</head> what had happened .
2	` I was just kidding <head>about</head> that .
2	"` That creature is a charlatan , "" said Rain , sore <head>about</head> Ruby claiming extra-sensory perception of her visit to Epping Forest ."
2	After a loud exclamation <head>about</head> the electricity being back on , I was informed electricity was not needed for the phones to work .
2	The trouble is that museum exhibitions , as traditionally arranged , do little more than offer a catalogue of seemingly-unrelated assertions <head>about</head> the subject matter .
2	` I ca n't even talk <head>about</head> his future in the game because it 's too early to say .
2	"` Was that the meeting <head>about</head> women and the family ? """
2	The perception of the problem will differ , depending on such things as the views and experiences of individuals , and their beliefs <head>about</head> what is or what ought to be .
2	Basic Instinct The unabridged version of Paul Verhoeven 's sexy thriller <head>about</head> a murderess with Michael Douglas as the policeman in pursuit and Sharon Stone as the lethal enigmatic beauty who steals his soul .
2	They grumbled <head>about</head> the hardships of the journey .
2	"I do not brag <head>about</head> what we saw , but on my return I was hailed as a great navigator and found favour with the Tudor kings . """
2	"` Did n't seem too pleased <head>about</head> something . """
