__label__147,"In a moment or two , when she 'd recovered , she produced her chillim and the little pouch <head>of</head> tobacco that she kept in her waistband ."
__label__298,Seven people managed to escape <head>before</head> emergency crews arrived .
__label__207,He thought that she had been exceptionally sweet <head>to</head> Emmie lately and he was grateful to her .
__label__149,"We can see why , if we turn the pages of the only surviving detailed account <head>of</head> the Celtic invasion of 278 B.C. in Pausanias , Book 10 ."
__label__145,But food products and balls <head>of</head> bubblegum like this are n't subject to the same restrictions .
__label__78,To be honest I 'm still smarting <head>from</head> the various wounds she inflicted .
__label__149,"Certainly , he was blind to the true nature of Hitler and Nazism until the autumn <head>of</head> 1938 ."
__label__155,"Narrowly victorious in a mudslinging campaign , Mrs Richards -- a divorced mother <head>of</head> four -- became the first woman to hold the office since 1935 ."
__label__77,"We have had early notification <head>from</head> Sam Morley of Aedificamus Press that plans are in hand to publish this excellent book , the autobiography of Perla Seidle Gibson , as a Talking Book ."
__label__168,"These changes , and the need for Britain to conform <head>with</head> EC legislation , gave rise to ever more comprehensive labelling regulations ."
__label__89,The teenager <head>from</head> the Isle of Wight beat the visiting defenders to a centre from Paul Raynor and sent a glancing header into the top left-hand corner .
__label__152,"The surge in sales last month was also directly inspired by price cuts which reflected the desperation <head>of</head> many shopkeepers faced with poor results in December , traditionally the peak buying season of the year ."
__label__245,There were suspicions <head>about</head> the role that Conservative Central Office played in orchestrating some of these manoeuvres .
__label__40,We were standing <head>around</head> him in a ragged semi-circle in the gym at the end of our physical education period .
__label__99,"` I have no intention of meeting her , "" Jenna began , but he too stood and looked <head>towards</head> the long windows as a car came speedily to the house ."
__label__156,"The runway is simply a strip <head>of</head> grass , cleared of rocks ."
__label__36,The new undergraduate rooms in the Hodgkin Quadrangle have proved a most welcome addition now that it is both difficult and expensive <head>for</head> undergraduates to find accommodation on the open market .
__label__155,"Superb courage and unlimited patience supported an altogether exceptional political intelligence , and in both speech and writing he could express his beliefs with all the brilliance <head>of</head> a highly original mind"
__label__307,Ramsey had been a professor <head>at</head> Cambridge for exactly twenty months .
__label__153,"A key indication <head>of</head> this is that the world system approach , like the dependency approach , is having increasing difficulty in dealing with the development , or at least industrialization , of nonhegemon countries ."
__label__209,"The plume of smoke is safely confined <head>to</head> the lower atmosphere , which means that it is soon mixed with fresh air and removed from the sky by rain ."
__label__295,"What volcano of emotion must have been boiling <head>inside</head> that youngster under his teasing and laughing , under his occasionally expressionless face ?"
__label__46,"Unlike his fellow sovereigns , Napoleon III reigned <head>by</head> the Grace of God and the will of the people , to whom the Constitution made him directly responsible -- a point which he himself stressed continually ."
__label__34,"Squadron Leader Archibald Liggat , of RAF Valley , receives a Queen 's Commendation <head>for</head> his exceptional diligence and professionalism as a Phantom pilot ."
__label__307,These are large hauls hijacked <head>at</head> sea .
__label__156,"A second feature which characterises German Romanesque churches is the dramatic skyline pattern created by the multiplicity <head>of</head> towers , cupolas and turrets ."
__label__278,"Alan Smith had just been appointed editor and was about to change the whole face of the paper , ditching those who revered Cilla <head>as</head> the greatest swinger on the block ."
__label__61,Concessions <head>by</head> the government on the release of political prisoners and the return of exiles were also announced [ see p. 37642 ] .
__label__2,You could also thinly spread some glue <head>on</head> the cracker and sprinkle some glitter powder over it .
__label__307,You will find their number <head>at</head> the end of this book .
__label__175,Cook the mulberries <head>with</head> the sugar until the juice runs .
__label__196,Bank after bank bleated <head>to</head> John about a sudden dearth of cash in the Stevenson account .
__label__188,A waitress shoved a plate of cocktail bits <head>beneath</head> Joshua 's nose .
__label__149,"Lithuania 's deputy Prime Minister Romualdas Ozolas said the Republic was not prepared to suspend its declaration <head>of</head> independence , although it would negotiate on laws passed since , which have angered the Kremlin ."
